,void-accessor controller,set collaborator,predicate set collaborator,property,property non-void-command factory collaborator,factory incidental,property command factory collaborator,get predicate controller,get set factory collaborator,property wrapper,constructor,get set factory,property non-void-command factory,get property,predicate non-void-command collaborator,get property factory wrapper,property set factory,predicate wrapper,get factory collaborator,wrapper stateless,get factory controller,void-accessor command,get predicate set,factory collaborator,get non-void-command collaborator,set factory,stateless,copy-constructor,get non-void-command,get set collaborator,command,property factory collaborator,incidental,predicate collaborator,destructor,property set collaborator,property factory wrapper,property set factory collaborator,non-void-command factory collaborator,get property set factory collaborator,get predicate set collaborator,void-accessor,predicate non-void-command,get property controller,property collaborator,get void-accessor collaborator,get non-void-command factory collaborator,property set,wrapper,collaborator stateless,get factory,unclassified,get predicate collaborator,factory controller stateless,factory wrapper stateless,get property factory collaborator,get void-accessor command collaborator,set factory collaborator,get predicate wrapper,get wrapper,get controller,get property non-void-command factory,void-accessor set collaborator,get predicate non-void-command,command collaborator,command empty,void-accessor command collaborator,get command collaborator,property non-void-command,get factory wrapper,get predicate non-void-command collaborator,get property command collaborator,get,get void-accessor controller,property factory,get collaborator,controller stateless,get predicate,factory collaborator stateless,get property collaborator,get property non-void-command,get property wrapper,void-accessor set,factory controller,property controller,get command,get property set,void-accessor wrapper,property factory controller,void-accessor collaborator,get property set collaborator,collaborator incidental,get property factory,get property factory controller,set,get property set factory,collaborator,get property non-void-command collaborator,get void-accessor,non-void-command,non-void-command collaborator,property non-void-command collaborator,get property non-void-command factory collaborator,predicate set,get non-void-command factory,property command collaborator,empty,predicate,controller,factory stateless,non-void-command factory,predicate controller,factory,get set,factory wrapper,factory collaborator incidental
aspire (C#),0,38,1,5,7,0,0,0,0,13,218,0,0,0,6,0,0,8,0,225,0,0,0,0,1,0,15,24,1,3,50,8,6,0,0,4,1,1,3,0,0,2,5,0,4,0,0,0,22,1,0,4,0,3,3,0,0,0,0,3,1,0,2,0,64,0,6,0,2,0,0,0,5,0,0,4,475,0,2,0,0,0,0,3,4,0,0,1,0,3,0,11,0,0,25,0,1,1,0,6,66,51,0,2,0,0,24,0,166,0,0,5,0,2,1,1
GalaxyBudsClient (C#),2,115,0,42,45,0,0,0,9,85,477,0,0,1,45,0,0,21,1,226,0,8,0,4,14,0,81,10,8,2,255,48,70,1,20,17,13,1,34,0,0,0,20,0,59,0,0,0,76,125,0,7,1,4,5,4,0,2,2,1,0,0,4,0,296,0,17,0,56,0,0,0,178,0,0,120,45,1,19,2,0,2,1,7,14,0,0,2,2,2,0,66,0,0,203,0,0,3,0,9,38,251,0,1,0,0,48,48,16,0,1,3,0,3,9,0
GameFramework (C#),0,13,0,35,3,0,0,0,0,6,140,0,0,0,37,0,0,2,0,28,0,0,0,6,0,0,0,2,0,0,88,4,17,0,0,1,0,0,4,0,0,0,28,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,0,45,0,0,0,105,0,0,52,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,52,0,0,0,0,0,0,131,0,0,0,0,14,6,13,0,0,1,0,0,1,0
acat (C#),6,169,21,13,10,0,0,0,0,51,532,0,0,0,161,0,0,61,0,243,0,12,0,3,2,0,3,5,1,2,798,10,161,4,0,5,2,0,9,0,0,0,132,0,38,0,0,4,168,1,0,2,0,5,3,1,0,0,0,1,0,0,3,0,752,0,23,0,43,0,0,0,68,0,0,209,113,1,25,1,0,2,2,1,26,0,0,6,4,2,1,99,0,0,184,0,6,1,0,9,19,118,0,27,0,0,131,30,31,0,0,19,0,5,4,3
command-line-api (C#),0,17,0,0,2,0,0,0,0,6,190,0,0,0,13,0,0,0,0,68,0,0,0,0,0,0,0,9,0,1,37,2,13,1,1,1,3,0,0,0,0,0,9,0,3,0,0,0,10,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,134,0,4,0,4,0,0,0,1,0,0,0,558,0,1,0,0,0,0,1,3,0,0,0,2,0,0,9,0,0,9,0,2,1,0,1,7,26,0,1,0,0,21,2,50,0,0,1,0,0,0,0
DriverStoreExplorer (C#),0,6,0,1,2,0,0,0,0,1,15,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0
modular-monolith-with-ddd (C#),0,23,0,1,3,0,0,0,0,4,662,0,0,0,10,0,0,0,0,124,0,0,0,0,0,0,0,8,0,3,26,4,2,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,0,0,3,0,0,0,1,0,0,2,191,0,0,0,0,0,0,1,7,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,185,153,0,0,0,0,10,6,31,0,0,2,0,0,0,0
Power-Fx (C#),1,24,14,13,96,0,0,0,1,43,956,0,3,0,317,0,0,30,0,393,0,0,0,2,21,0,59,32,5,11,109,31,93,22,0,11,11,2,21,0,0,0,27,0,32,0,2,1,46,75,1,3,0,17,12,0,0,3,0,11,0,0,1,0,300,0,0,0,56,1,0,0,49,0,3,37,695,1,17,2,2,2,0,10,97,0,1,1,12,0,0,121,0,0,23,0,5,3,0,0,97,299,5,2,0,0,90,13,204,1,0,24,0,1,5,194
PowerShell (C#),14,1026,15,198,387,0,0,0,29,328,2564,0,3,6,351,0,0,69,36,868,0,12,0,21,71,0,71,74,30,35,1393,65,486,29,20,82,70,6,270,4,0,2,203,10,332,0,17,9,381,138,0,23,0,47,30,1,0,19,0,26,3,1,7,2,2477,0,107,0,284,0,3,0,958,0,11,1195,279,3,47,15,10,13,1,67,327,0,3,8,51,9,6,619,0,2,960,0,13,24,0,159,281,1775,6,13,0,0,138,194,130,0,2,43,5,22,16,11
Winpilot (C#),0,2,0,0,1,0,0,0,0,0,51,0,0,0,7,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,19,0,20,0,0,1,0,0,1,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0
protobuf-net (C#),4,149,2,19,9,0,0,0,2,91,436,0,0,1,31,0,0,3,0,752,0,1,0,1,8,0,4,18,4,2,99,1,56,3,0,7,8,0,4,0,0,1,35,0,9,0,0,6,100,12,1,6,0,11,8,0,0,1,9,3,0,0,2,2,281,12,15,0,41,0,0,0,377,0,10,214,737,0,5,6,3,2,0,0,22,0,0,1,2,0,0,62,0,0,288,0,1,2,0,179,88,140,0,2,0,0,89,19,108,0,0,5,0,0,0,7
TensorFlow.NET (C#),0,762,0,18,42,0,0,0,4,377,763,0,2,0,312,3,0,4,0,294,0,1,0,3,9,0,12,359,0,9,168,17,26,1,2,8,299,1,18,1,0,1,12,1,60,0,1,2,48,47,0,3,0,21,15,1,0,3,164,2,0,0,0,122,879,0,8,0,588,0,0,0,590,0,10,540,301,0,14,4,1,1,0,6,33,0,0,0,15,0,0,367,0,0,846,0,4,7,0,14,52,257,1,0,0,0,92,8,82,0,0,7,0,2,6,3
N_m3u8DL-RE (C#),0,7,0,0,3,0,0,0,0,6,27,0,0,0,3,0,0,0,0,6,0,1,0,0,2,0,2,0,0,0,13,1,5,1,1,2,3,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,19,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,13,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0
hashids.net (C#),0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScottPlot (C#),4,103,0,25,44,0,0,0,0,85,480,0,1,2,5,0,0,6,0,202,0,2,0,1,7,0,2,3,2,3,375,28,40,3,0,1,23,0,88,0,0,1,4,0,13,0,0,2,103,2,0,10,0,9,4,0,0,1,0,1,0,0,2,0,476,0,8,0,52,0,0,0,5,0,11,36,1027,0,37,0,3,1,0,8,32,0,0,3,7,2,0,41,0,0,83,0,17,1,0,13,22,67,0,5,0,0,51,2,105,0,0,3,0,0,1,8
AssetRipper (C#),2,30,6,9,13,0,0,0,0,40,654,0,0,0,65,0,0,40,0,193,0,6,0,0,2,0,13,12,15,1,94,3,36,15,4,6,4,1,12,0,0,3,23,0,5,0,0,0,60,35,0,2,0,4,1,0,0,3,0,4,0,0,1,1,248,0,11,0,25,0,0,0,19,0,1,9,86,0,2,2,2,3,0,9,30,0,0,1,5,0,1,45,0,0,19,0,9,1,0,6,0,89,0,1,0,0,29,15,35,0,0,15,0,5,1,0
wpfui (C#),0,19,0,4,2,0,0,0,0,5,186,0,0,0,13,1,0,5,0,71,0,0,0,0,0,0,4,7,0,3,41,3,9,2,1,1,0,0,5,0,0,0,6,0,0,0,2,0,61,24,0,0,0,2,5,0,0,1,0,1,0,0,1,0,75,0,4,0,3,0,0,0,8,0,0,2,19,0,5,0,0,0,0,1,1,0,0,0,0,0,0,37,0,0,31,0,0,1,0,1,15,29,0,0,0,0,36,0,6,0,0,1,0,1,0,3
WinDynamicDesktop (C#),0,5,0,0,1,0,0,0,0,2,36,0,0,0,1,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,3,0,1,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0
NSwag (C#),0,29,0,78,10,0,0,0,0,17,142,0,0,1,27,0,0,1,0,87,0,0,0,1,1,0,0,12,0,0,12,3,5,0,0,3,0,0,6,0,0,0,6,0,20,0,1,0,16,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,56,0,4,0,10,0,0,0,8,0,0,10,328,0,7,0,0,0,0,0,7,0,0,0,0,1,0,12,0,0,166,0,0,1,0,3,63,66,0,0,0,0,19,81,11,0,0,1,0,0,1,5
Swashbuckle.AspNetCore (C#),0,1,0,0,5,0,0,0,0,5,91,0,0,0,10,0,0,0,0,62,0,0,0,0,2,0,8,4,0,0,2,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,10,0,0,0,2,24,0,0,0,0,0,0,0,0,0,83,0,11,0,0,0,0,0,0,0,0,0,202,0,9,0,0,0,0,0,0,0,0,0,1,1,0,22,0,0,5,0,1,0,0,0,12,20,0,0,0,0,52,0,4,0,0,2,0,0,0,7
nvidiaProfileInspector (C#),0,7,0,1,4,0,0,0,0,11,33,0,0,0,4,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,35,0,10,0,1,0,0,0,4,0,0,0,1,0,3,0,0,0,7,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,73,0,8,0,13,0,0,0,2,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,8,0,4,2,0,6,4,41,0,0,0,0,2,0,6,0,0,0,0,0,0,0
FASTER (C#),6,80,10,23,12,0,0,0,0,33,313,0,0,2,104,1,0,41,0,242,0,8,0,1,1,0,2,73,2,3,335,6,32,3,4,6,6,2,3,0,0,1,41,1,31,0,0,3,86,19,0,5,0,0,1,0,0,0,1,3,0,0,4,0,401,0,60,0,44,0,0,0,16,0,0,38,97,0,0,0,2,0,0,2,29,0,0,12,1,1,0,207,0,0,80,0,15,1,0,2,81,131,1,2,0,0,117,11,56,0,0,11,0,1,2,0
EntityComponentSystemSamples (C#),14,93,3,1,6,0,0,0,0,9,42,0,0,0,9,0,0,3,0,211,0,3,0,0,1,0,0,2,1,1,122,3,8,1,0,5,0,0,1,0,0,0,6,1,4,0,0,0,40,0,0,4,0,6,7,0,0,0,2,1,0,0,6,0,274,0,43,0,1,0,0,0,3,0,0,1,319,0,1,0,0,1,1,2,9,0,0,11,2,3,0,16,0,0,65,0,3,0,0,4,1,27,0,1,0,0,43,4,40,0,0,0,0,0,0,1
ViVe (C#),0,8,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ScreenToGif (C#),1,85,1,7,4,0,0,0,0,31,269,0,0,0,4,0,1,4,0,191,0,2,0,2,14,0,0,1,0,2,84,4,13,0,4,5,1,2,5,0,0,0,2,0,5,0,0,1,47,13,0,1,0,4,6,0,0,0,0,0,0,0,15,0,259,0,25,0,2,0,0,0,0,0,0,7,48,0,4,2,0,2,0,4,6,0,1,10,1,11,0,122,0,0,15,0,4,1,0,18,28,35,0,0,0,0,7,1,25,0,0,0,0,0,0,4
EFCore.BulkExtensions (C#),0,4,0,0,2,0,0,0,0,0,27,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,2,2,0,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,10,0,0,0,7,1,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,2,0,0,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0
OpenRA (C#),4,404,14,54,130,0,0,1,1,56,927,0,1,0,343,2,0,30,0,202,0,5,0,3,17,0,12,558,2,5,435,684,88,32,5,19,47,5,9,0,0,0,84,7,81,0,1,5,115,13,0,18,0,15,9,3,0,1,0,10,0,0,4,1,1436,0,26,0,59,0,5,0,10,0,2,105,200,0,96,5,6,5,0,7,97,0,0,4,61,8,4,178,1,0,118,0,12,22,0,12,26,545,3,4,0,0,161,36,218,0,0,49,0,2,0,6
AspNetCore.Diagnostics.HealthChecks (C#),0,0,0,0,4,0,0,0,0,3,138,0,0,0,0,0,0,1,0,61,0,0,0,0,16,0,0,37,17,11,20,3,1,0,0,2,3,0,2,0,0,1,0,0,5,0,1,0,12,6,0,2,0,2,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,4,307,0,6,0,0,0,0,3,3,0,0,0,4,0,0,3,0,0,3,0,0,1,0,0,94,40,0,0,0,0,5,0,35,0,0,0,0,19,0,3
fluentmigrator (C#),0,238,0,4,50,0,0,0,1,15,535,0,0,0,39,0,0,6,0,315,0,0,0,0,73,0,14,44,0,86,818,26,127,0,0,1,5,4,10,0,0,0,74,0,28,0,1,0,160,12,0,1,0,9,0,0,0,0,0,0,7,0,0,0,2236,0,20,0,82,0,0,0,13,0,0,27,637,0,24,0,1,1,0,2,10,0,0,0,4,0,3,53,0,0,169,0,2,2,0,0,0,303,0,0,0,0,88,8,82,0,0,9,0,0,0,2
SteamDesktopAuthenticator (C#),0,12,0,2,0,0,0,0,0,1,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AutoFixture (C#),0,19,0,0,67,0,0,0,0,19,549,0,0,0,70,0,0,8,1,1134,0,0,0,0,1,0,8,1,0,0,15,3,18,2,0,0,12,0,6,3,0,0,8,1,2,0,0,2,14,52,0,0,0,36,46,1,0,0,0,2,1,0,0,0,172,0,0,0,43,7,0,0,9,0,0,34,2261,0,13,0,0,0,0,1,6,0,0,0,2,0,1,34,0,0,9,0,0,2,0,2,3,195,2,0,0,0,89,4,38,1,0,3,0,7,1,1
refit (C#),0,4,0,0,1,0,0,0,0,7,45,0,0,0,1,0,0,0,0,17,0,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,11,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,240,0,2,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,13,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0
WTM (C#),0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autofac (C#),0,42,0,0,4,0,0,0,0,8,193,0,0,0,16,0,0,3,0,198,0,0,0,0,23,0,3,5,0,3,44,3,10,1,0,1,2,0,7,0,0,0,6,0,1,0,0,0,11,1,0,0,0,3,1,0,0,1,0,2,0,0,0,0,101,0,3,0,9,0,0,0,2,1,0,10,764,0,0,0,0,0,0,3,2,0,0,0,2,0,0,3,0,0,7,0,0,3,0,0,7,68,0,0,0,0,23,2,26,0,0,2,0,1,1,0
basic-computer-games (C#),0,21,5,9,3,0,0,0,0,19,278,0,0,1,30,0,0,4,0,152,0,0,0,2,1,0,0,1,3,2,263,3,37,0,0,12,3,1,8,1,0,0,11,0,17,0,0,3,36,2,0,4,0,4,0,0,0,0,0,0,2,0,0,0,124,0,4,0,87,0,0,0,41,0,0,11,56,0,0,0,2,1,0,3,17,0,0,0,1,1,0,16,0,0,53,0,4,1,0,0,3,99,1,6,0,0,3,6,12,0,0,2,0,8,0,0
Magick.NET (C#),0,25,11,3,13,0,0,0,0,10,390,0,1,0,35,0,0,7,1,93,0,0,0,0,11,0,1,13,3,0,50,16,0,1,0,6,5,0,1,0,0,0,3,0,14,0,0,3,18,1,0,1,0,16,0,1,0,0,0,7,1,0,0,0,122,0,3,0,26,0,0,0,2,0,0,1,16,0,0,1,0,1,0,5,8,0,0,0,0,0,0,4,0,0,19,0,6,1,0,1,5,64,1,2,0,0,3,6,9,0,0,9,0,0,1,0
Radarr (C#),0,113,0,13,376,0,0,0,0,38,1359,0,0,1,136,0,0,10,0,749,0,3,0,2,6,0,9,47,7,8,868,24,54,9,0,2,7,7,145,0,0,0,54,3,5,0,1,1,176,27,0,1,0,41,18,0,0,7,0,4,0,1,1,0,1487,0,28,0,91,0,0,0,27,0,1,10,661,0,58,1,6,1,0,10,29,0,0,4,11,0,0,86,0,0,266,0,1,2,0,48,110,974,0,0,0,0,43,5,94,0,0,9,0,6,0,28
v2rayN (C#),1,17,0,0,3,0,0,0,0,5,49,0,0,1,0,0,0,1,0,68,0,0,0,0,0,0,0,0,0,0,48,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,13,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,69,0,3,0,7,0,0,0,1,0,0,1,21,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,8,48,0,0,0,0,0,2,1,0,0,0,0,0,0,0
AICommand (C#),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grpc-dotnet (C#),2,55,1,6,39,0,0,0,3,43,388,0,0,0,26,0,0,0,0,209,0,1,0,3,3,0,23,23,0,5,100,21,12,4,0,10,12,0,9,0,0,0,3,0,18,0,2,1,29,47,0,2,0,21,10,0,0,1,5,2,0,0,1,3,181,0,0,0,27,0,0,0,27,0,0,40,573,0,16,1,0,2,0,5,13,0,0,1,4,1,1,35,0,0,63,0,6,5,0,6,211,300,0,2,0,0,37,7,63,0,0,2,0,2,0,4
N_m3u8DL-CLI (C#),0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
puppeteer-sharp (C#),0,55,0,0,5,0,0,0,0,8,261,0,0,0,9,1,0,0,0,90,0,0,0,0,2,0,0,8,0,2,37,2,3,0,2,19,2,1,4,0,0,0,3,1,3,0,0,0,13,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,74,0,1,0,1,0,0,0,0,0,0,3,74,1,0,1,0,0,0,0,4,0,0,0,2,1,0,12,0,0,12,0,0,2,0,2,769,133,0,0,0,0,4,1,14,0,0,1,0,2,1,0
MahApps.Metro (C#),0,38,0,2,7,0,0,0,0,11,206,0,0,0,9,0,0,2,0,40,0,0,0,0,2,0,0,9,0,0,116,8,12,2,0,6,1,1,1,0,0,0,4,0,13,0,0,0,45,11,0,1,0,1,3,0,0,0,0,3,0,0,2,0,231,0,31,0,4,0,0,0,1,0,0,7,59,0,16,0,0,0,0,0,7,0,0,1,0,2,0,57,0,1,27,0,3,1,0,2,78,55,0,0,0,0,18,2,4,0,0,1,0,0,0,1
Digital-Logic-Sim (C#),0,31,0,5,2,0,0,0,0,4,18,0,0,0,7,0,0,2,0,25,0,1,0,0,1,0,0,0,0,0,188,1,4,2,0,6,0,1,4,0,0,0,2,0,1,0,0,0,26,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,142,0,11,0,3,0,0,0,1,0,0,3,7,0,5,0,1,1,0,0,3,0,0,0,0,0,0,3,0,0,39,0,3,1,0,0,0,17,0,0,0,0,4,3,9,0,0,2,0,0,0,0
blazor-starter-kit (C#),0,8,0,0,4,0,0,0,0,0,56,0,0,0,1,0,0,7,0,6,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,37,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kudu (C#),0,16,2,26,49,0,0,0,1,78,336,0,0,0,44,0,0,8,0,295,0,0,0,1,7,0,24,11,9,5,155,4,57,0,0,4,15,2,23,0,0,0,24,1,20,0,0,1,29,18,0,3,0,13,6,0,0,0,1,1,1,0,0,0,193,0,10,0,54,0,0,0,40,0,0,40,297,0,4,0,0,2,0,3,14,0,0,1,5,0,1,56,0,0,38,0,3,2,0,4,69,322,0,3,0,0,26,13,28,0,0,7,0,2,1,2
qttabbar (C#),0,4,0,2,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,1,0
ImageSharp (C#),11,32,17,11,88,0,0,0,0,102,819,0,0,4,97,2,0,17,0,896,1,3,0,2,17,0,3,109,3,1,549,8,10,3,3,5,14,10,13,0,0,6,56,1,5,0,0,7,252,6,0,3,0,5,7,0,0,1,0,8,1,0,1,0,569,0,16,0,101,3,0,0,3,0,1,2,842,0,3,1,2,1,0,5,23,0,0,1,6,1,0,11,0,0,96,0,5,2,0,7,9,331,0,15,0,0,41,8,310,0,0,4,0,0,1,0
Ryujinx (C#),8,373,20,102,160,0,0,0,1,332,1707,0,2,6,205,0,0,76,1,1194,0,13,0,2,14,0,34,68,5,5,2175,65,133,26,8,131,32,3,38,0,0,2,193,2,170,0,0,15,373,76,1,19,0,5,12,0,0,5,0,30,0,0,14,5,1669,0,59,0,204,0,2,0,85,0,7,77,422,3,22,8,8,6,1,8,133,0,2,5,6,3,2,137,0,0,488,0,19,27,0,32,28,1993,3,23,0,1,103,137,114,0,1,33,0,7,4,3
opentk (C#),0,26,1,19,3,0,0,0,0,99,271,0,0,0,69,0,0,13,0,73,0,2,0,2,0,0,0,16,4,0,47,10,15,19,2,0,0,0,0,0,0,9,44,0,19,0,0,1,15,1,0,1,0,2,2,0,0,2,0,8,0,0,0,0,75,0,6,0,90,0,0,0,38,0,1,13,12,0,4,0,0,2,0,1,84,0,0,0,0,3,0,107,0,0,78,0,3,1,0,162,194,79,1,0,0,0,3,38,4,0,0,0,0,0,0,0
ink (C#),0,26,0,26,59,0,0,0,3,13,108,0,0,4,14,0,0,2,0,48,0,2,0,5,14,0,4,12,2,3,54,6,47,5,0,6,0,1,10,0,0,0,13,0,19,0,3,0,2,2,0,2,0,3,4,0,0,2,0,3,0,0,0,0,111,0,1,0,43,0,0,0,18,0,0,24,178,0,0,5,0,1,0,16,8,0,0,0,6,1,0,36,0,0,21,0,1,8,0,5,6,94,7,1,0,0,2,24,16,2,0,4,0,2,1,0
MagicOnion (C#),0,37,4,3,93,0,0,0,2,25,782,0,2,0,22,0,0,4,0,308,0,0,0,0,7,0,2,26,0,1,83,10,33,0,0,17,2,5,20,0,0,0,4,2,2,0,0,0,22,39,0,5,0,88,4,0,0,0,0,11,0,0,0,0,178,0,2,0,5,0,0,0,4,0,2,14,790,0,41,0,0,0,0,1,4,0,0,0,12,2,0,191,0,0,20,0,4,25,0,0,151,126,1,0,0,0,13,0,66,0,0,8,0,0,0,1
NoteHighlight2016 (C#),0,8,0,8,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,16,0,1,0,0,0,0,3,0,0,2,7,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,1,0,0,2,9,0,1,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,19,0,0,0,0,0,0,1,0,0,0,0,5,12,3,0,0,1,0,0,0,0
NAudio (C#),0,80,1,94,6,0,0,0,12,52,416,0,0,1,16,1,0,5,0,186,0,2,0,4,10,0,22,29,3,2,389,8,92,3,23,11,4,0,13,0,0,3,11,0,22,0,3,24,59,14,0,2,0,1,5,0,0,2,0,0,0,0,0,0,311,0,8,0,104,0,0,0,122,0,1,70,164,0,21,0,0,1,2,0,9,0,0,2,1,0,0,27,0,0,223,0,2,1,0,51,16,65,0,9,0,0,28,30,21,1,0,0,0,1,2,2
