,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
mockito (Java),226,109,376,1,130,1498,439,1120,646,723,292,3,0,110,166,1091,35,0
testing-samples (Java),6,2,7,0,16,104,9,71,6,56,10,0,0,8,10,34,2,0
jenkins (Java),647,490,2109,36,314,1599,2258,3236,885,880,943,28,0,513,412,1298,138,1
piggymetrics (Java),50,1,37,0,56,66,34,163,16,8,5,0,0,19,6,16,8,0
Mapper (Java),420,18,227,1,306,173,348,634,232,37,91,0,0,16,33,229,13,0
transmittable-thread-local (Java),36,35,107,0,9,60,132,180,14,26,69,1,0,6,7,35,8,0
easyexcel (Java),129,9,153,2,64,533,194,723,286,73,162,6,0,113,235,354,164,0
dynamic-load-apk (Java),17,27,60,0,10,109,86,150,10,19,14,0,0,6,1,12,0,0
springcloud-learning (Java),121,0,150,0,108,27,146,263,33,9,116,0,0,121,20,78,34,0
react-native-svg (Java),50,5,50,2,143,159,59,232,62,5,65,2,0,26,9,63,6,0
Android_Data (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tsunami-security-scanner (Java),23,25,78,2,26,160,98,222,134,235,58,2,0,16,15,312,2,0
richeditor-android (Java),1,0,0,0,5,51,0,8,2,3,6,0,0,1,0,6,0,0
Telegram (Java),2839,2334,4041,645,2894,11005,5067,9567,1091,1407,3025,62,0,949,918,1158,886,28
plantuml (Java),1914,771,5144,42,631,2252,4776,6823,1519,790,2016,65,0,1728,575,1687,92,9
fresco (Java),643,213,718,32,405,2309,801,2011,325,401,417,12,0,191,102,433,118,1
junit4 (Java),75,53,290,3,89,567,309,719,424,386,190,1,0,117,17,661,65,1
Paper (Java),1,0,4,0,0,2,1,3,7,2,23,0,0,2,0,6,3,0
skywalking (Java),378,158,1336,9,365,1174,1387,2427,797,328,635,2,0,662,481,793,151,1
SpringBoot-Labs (Java),0,0,0,0,0,0,0,0,1,1,0,0,0,0,9,2,0,0
LeetCodeAnimation (Java),0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
SmartTube (Java),1716,965,1996,263,1493,5575,2379,5130,981,780,1504,11,0,456,317,928,453,7
AndroidPerformanceMonitor (Java),9,5,18,2,10,28,18,29,10,13,22,0,0,1,34,13,2,0
DependencyCheck (Java),560,149,346,9,371,830,461,1081,381,125,280,1,0,102,113,366,49,3
mybatis-plus (Java),300,95,544,3,86,433,679,1034,348,347,298,0,0,104,221,581,13,0
Arduino (Java),211,94,228,9,102,431,266,522,169,105,198,2,0,88,60,220,33,0
VirtualXposed (Java),171,165,448,45,104,609,559,895,170,115,267,5,0,103,89,186,36,2
jadx (Java),1337,488,1666,30,636,2017,1942,3077,429,252,653,20,0,363,270,454,74,3
FizzBuzzEnterpriseEdition (Java),22,1,2,0,3,13,3,33,7,6,45,0,0,1,7,13,0,0
easypermissions (Java),8,10,18,3,2,81,17,36,28,16,15,0,0,1,2,8,20,0
conductor (Java),883,149,1483,15,703,1747,1618,2442,392,353,413,8,0,318,62,637,51,2
guice (Java),212,91,610,4,121,601,572,1155,880,536,250,13,0,114,43,1088,19,0
pkl (Java),461,177,925,15,87,366,923,1328,346,238,411,10,0,230,89,326,34,0
COLA (Java),127,40,208,0,114,131,175,339,97,39,121,0,0,51,56,109,13,1
android-floating-action-button (Java),9,3,11,0,14,26,16,27,2,5,10,0,0,9,2,6,0,0
PhotoView (Java),12,12,13,0,19,57,24,57,7,0,10,0,0,0,2,2,1,0
Material-Animations (Java),2,1,4,3,5,33,3,35,16,9,3,0,0,5,0,17,0,0
RxJava (Java),137,213,1425,26,171,3503,1015,3506,5786,5017,789,2,0,145,92,9394,75,0
spider-flow (Java),119,31,85,0,90,70,117,178,24,12,30,2,0,27,41,30,11,0
spring-boot-api-project-seed (Java),6,0,6,0,3,8,5,14,5,1,4,0,0,1,0,5,1,0
jsoup (Java),245,124,340,6,76,236,432,436,1113,205,78,7,0,55,17,1110,15,0
testcontainers-java (Java),249,51,634,0,170,767,578,755,348,378,283,0,0,116,64,496,20,2
lombok (Java),636,303,940,63,349,453,957,1864,391,335,752,20,0,160,515,538,187,10
Grasscutter (Java),657,235,790,23,219,666,843,1257,567,352,4832,12,0,80,95,712,53,3
thingsboard (Java),590,405,4904,41,378,6058,5059,9450,1338,750,1246,122,0,1127,585,1507,112,3
VBlog (Java),34,1,42,0,34,3,46,49,8,3,5,0,0,22,3,13,1,0
GmsCore (Java),874,225,698,47,215,776,628,1177,205,526,685,14,0,124,226,284,149,1
AndroidPicker (Java),303,24,155,16,221,411,148,512,95,47,135,0,0,35,38,52,21,1
GSYVideoPlayer (Java),307,90,262,18,338,986,305,692,58,111,259,2,0,27,118,116,159,3
FlycoTabLayout (Java),90,0,18,3,67,80,20,63,3,2,15,0,0,4,2,0,1,0
ImmersionBar (Java),101,8,66,5,71,270,95,197,18,23,24,0,0,8,63,17,33,0
android-gpuimage (Java),30,1,14,18,85,230,15,84,4,9,146,0,0,2,3,7,3,1
processing (Java),530,292,1083,151,458,2506,1188,1354,184,401,360,8,0,258,79,362,113,5
config (Java),173,48,303,0,70,17,265,389,33,74,68,6,0,118,29,55,0,1
MaterialDesignLibrary (Java),25,9,11,0,39,77,13,86,3,8,26,0,0,0,3,4,1,0
antlr4 (Java),321,129,846,69,132,701,808,1277,481,318,491,47,0,233,224,641,41,0
metersphere (Java),1141,92,2739,4,312,3051,2957,4909,501,279,396,0,0,824,40,713,23,0
haven (Java),6,23,36,8,29,161,52,101,23,14,20,0,0,3,3,20,13,0
zaproxy (Java),2601,677,1645,59,1372,4080,2658,5844,1579,742,1303,38,0,1290,649,1622,289,5
async-http-client (Java),295,65,389,11,95,437,390,741,189,149,227,1,0,90,28,263,41,0
rabbitmq-tutorials (Java),0,0,8,0,0,29,6,30,7,0,2,0,0,15,3,20,0,0
Android-Debug-Database (Java),1,21,56,5,3,33,71,62,24,11,29,0,0,3,11,27,1,0
EffectiveAndroidUI (Java),13,7,23,0,16,114,18,99,16,26,41,0,0,10,11,23,9,1
SmartRefreshLayout (Java),198,45,97,6,99,351,234,396,61,39,154,0,0,5,15,63,25,0
Sentinel (Java),971,124,692,3,605,712,687,1296,658,390,483,0,0,180,117,955,36,1
smali (Java),609,81,756,37,74,548,697,1081,284,214,471,6,0,232,149,494,6,0
