,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
keepassxc (C++),265,453,705,5,227,1319,530,2035,541,398,322,4,63,55,81,768,22,11
calculator (C++),95,33,87,0,103,182,86,275,51,20,71,0,10,1,33,52,23,1
server (C++),1931,4268,6889,292,2317,3530,7410,13693,2208,3492,3084,184,540,824,2792,2588,241,46
DOOM (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
openpose (C++),144,79,307,32,66,187,137,386,186,49,280,68,129,0,5,64,51,4
ESP32Marauder (C++),23,17,47,0,25,116,39,65,109,12,12,0,1,0,4,90,7,0
TensorRT (C++),81,128,818,1,205,323,259,784,132,361,306,13,54,127,502,278,100,89
PX4-Autopilot (C++),797,1376,2314,124,1037,2739,2310,2804,407,1305,1068,39,386,43,372,952,102,73
libpag (C++),187,236,525,22,107,395,362,1007,246,187,203,6,119,21,188,276,39,4
libtorrent (C++),489,347,966,69,243,1211,345,1910,205,419,524,69,94,3,167,257,117,35
The-Forge (C++),1471,612,2508,97,904,1221,1243,3095,386,1190,1160,110,305,43,269,535,43,43
imgui (C++),25,30,103,12,33,167,32,151,10,62,113,2,12,1,9,12,0,2
OpenArk (C++),16,26,64,3,33,123,58,175,36,29,36,0,28,2,0,25,5,2
ArduinoJson (C++),188,160,453,6,107,208,209,635,69,205,241,19,46,0,90,135,26,27
WebServer (C++),29,4,18,0,20,42,24,51,7,11,17,1,15,0,0,3,0,0
OpenTTD (C++),623,851,1618,123,657,1070,1111,3058,1914,1193,1115,60,198,52,433,1728,221,32
xgboost (C++),270,113,492,15,91,319,193,804,349,233,278,36,37,11,88,345,27,14
Bear (C++),12,13,89,1,6,3,16,87,40,31,48,3,3,1,5,40,0,0
colmap (C++),204,149,424,38,113,693,228,866,142,258,266,8,51,32,133,139,42,15
Qv2ray (C++),151,128,263,1,163,372,110,805,221,150,270,21,67,6,176,212,48,19
nebula (C++),891,453,2879,12,633,1216,1755,4173,1125,804,1234,55,80,48,278,1224,134,15
nodegui (C++),139,25,418,0,197,82,248,638,1048,59,138,2,116,2,31,1067,1,0
slambook (C++),29,19,53,16,10,72,35,120,29,29,55,1,18,0,20,36,26,4
endless-sky (C++),747,503,666,21,247,679,284,1397,282,189,311,25,45,1,158,254,27,34
libfacedetection (C++),2,2,3,0,0,1,2,1,3,3,3,1,1,0,0,1,0,0
doom3.gpl (C++),1465,1207,2805,552,1583,6424,2466,8213,1609,958,617,10,455,110,660,1415,560,93
gpt4all (C++),57,63,107,5,74,174,55,281,103,85,46,1,37,1,34,124,0,1
stellarium (C++),1310,589,1852,95,958,2921,742,3759,1004,991,593,32,323,68,416,1232,41,28
LocalAI (C++),18,34,29,1,10,26,41,69,19,19,49,2,2,0,13,30,9,0
wslg (C++),17,2,15,0,10,6,8,28,7,11,9,4,9,0,8,16,0,3
opencv4nodejs (C++),14,272,315,0,96,10,67,111,4,548,137,0,1,0,30,91,0,1
Cemu (C++),619,554,1011,76,395,989,662,2522,441,543,516,29,151,51,339,606,63,25
RedisDesktopManager (C++),109,39,124,1,53,244,68,435,94,99,92,0,25,1,60,157,7,1
workflow (C++),179,85,350,21,165,157,272,425,312,167,142,43,91,45,164,249,9,3
panda3d (C++),981,2107,3562,247,928,3837,2926,8332,1777,2133,1302,323,693,510,1071,2768,381,231
xenia (C++),634,583,1023,45,328,983,900,2004,182,458,335,12,137,25,167,340,103,19
concurrentqueue (C++),290,344,798,92,241,926,669,1627,278,689,595,147,247,46,136,451,91,47
openscad (C++),360,246,574,28,221,788,275,1140,464,223,419,20,47,25,183,419,59,20
liteide (C++),669,564,900,50,474,1954,493,3318,683,454,674,22,263,76,255,831,139,8
pixie (C++),629,267,1734,1,343,548,965,2152,689,545,707,14,61,14,175,753,83,6
draco (C++),411,418,567,18,222,353,531,1076,259,139,268,7,16,1,118,254,16,7
Cplusplus-Concurrency-In-Practice (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HyperLPR (C++),139,94,197,1,71,156,89,391,41,89,167,17,44,1,44,54,23,17
watchman (C++),71,100,308,11,45,120,208,464,90,80,160,22,31,1,42,90,10,2
leetcode (C++),41,78,358,16,24,83,420,192,281,16,107,2,15,15,172,285,0,1
rr (C++),244,257,444,34,120,361,357,806,103,179,170,21,39,6,39,143,8,8
design_patterns (C++),5,0,2,0,12,23,2,24,0,0,72,0,70,10,28,6,16,2
websocketpp (C++),84,23,123,25,114,228,66,380,45,58,102,7,15,2,53,78,22,0
pika (C++),488,246,1297,20,266,1109,929,1703,364,171,459,22,94,190,40,197,403,3
cmder (C++),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omim (C++),1788,622,4105,376,1128,2100,1718,6012,676,1171,1996,262,715,249,429,876,182,119
trojan (C++),5,5,5,0,5,61,10,54,7,2,9,0,3,0,2,8,1,0
ninja (C++),52,123,77,2,43,84,144,202,27,25,59,6,23,6,23,33,2,1
ssdb (C++),86,79,480,14,104,268,329,510,208,114,196,4,124,23,33,206,12,4
meshlab (C++),893,846,1801,217,653,2766,1490,4323,1078,1004,1155,61,510,102,682,1492,118,62
