,get,predicate,property,void-accessor,set,command,non-void-command,collaborator,controller,wrapper,constructor,copy-constructor,destructor,factory,incidental,stateless,empty,unclassified
PowerToys (C#),537,221,1901,102,658,1210,649,1871,429,2299,807,20,38,158,317,861,35,13
tModLoader (C#),56,184,237,145,349,895,244,1230,522,935,298,3,1,94,968,1047,956,34
Common.Utility (C#),27,14,61,1,15,29,41,31,58,20,27,0,0,8,3,33,2,0
reverse-proxy (C#),29,29,177,25,35,177,266,488,439,185,161,48,0,72,36,495,44,0
testcontainers-dotnet (C#),35,29,516,1,19,52,591,532,43,113,473,97,0,116,36,169,1,0
win-acme (C#),29,19,278,17,26,136,350,511,123,83,209,47,0,106,36,113,11,1
QuestPDF (C#),52,4,102,32,139,159,84,274,52,302,95,3,21,60,8,281,35,0
Sonarr (C#),94,232,1598,354,501,2662,1985,3784,974,1154,1337,48,0,748,164,1767,37,1
commandline (C#),127,14,61,0,24,24,33,109,119,94,96,12,2,21,23,163,0,0
VRTK (C#),31,0,1,0,33,27,4,52,3,6,0,0,0,1,3,4,0,0
Deform (C#),41,21,33,12,98,159,40,142,13,41,11,0,0,16,4,40,2,0
BenchmarkDotNet (C#),100,41,215,36,92,238,179,428,376,390,565,13,0,118,45,508,134,5
PEASS-ng (C#),296,208,728,123,205,419,532,658,103,626,611,45,3,143,133,253,10,6
jint (C#),100,176,735,26,99,653,638,1163,570,337,453,9,0,146,44,624,25,0
winforms (C#),697,564,1604,623,1283,3497,1649,6228,6171,12990,1654,123,25,580,501,18640,211,25
Hearthstone-Deck-Tracker (C#),156,55,209,36,321,547,253,829,160,838,418,11,1,67,138,425,5,3
ClosedXML (C#),696,178,770,39,553,478,836,1744,1188,1674,332,54,0,210,102,2636,8,0
Eto (C#),1377,402,1668,429,1838,2367,1925,5932,826,2007,1241,24,5,1041,1228,2326,309,15
BetterJoy (C#),13,5,21,14,16,74,10,64,7,36,18,0,0,0,0,24,0,0
clashN (C#),10,3,218,6,18,64,15,77,17,246,41,0,1,3,5,46,0,0
Ocelot (C#),120,16,156,62,450,1535,237,1403,105,133,459,24,0,134,52,181,25,0
BiliBiliToolPro (C#),5,2,76,2,3,22,137,150,46,21,70,17,0,9,6,51,0,0
optimizer (C#),26,6,109,11,30,114,18,121,6,180,34,0,0,6,16,44,8,0
server (C#),52,65,1135,18,102,98,1945,2246,2216,620,982,103,0,489,99,2462,21,0
privatezilla (C#),5,169,163,2,6,26,2,30,8,355,6,0,0,1,110,32,0,0
CefSharp (C#),615,141,1454,64,512,403,1356,2359,151,490,339,24,16,163,313,302,245,4
OptiKey (C#),253,106,1249,21,317,375,100,600,61,1458,320,1,0,64,142,203,42,1
crest (C#),17,55,31,27,77,300,34,222,53,93,30,0,0,11,24,55,15,3
shadowsocksr-csharp (C#),167,75,192,61,150,342,169,407,58,74,136,3,3,47,46,75,2,0
ContextMenuManager (C#),9,26,74,16,33,119,66,87,18,87,76,1,1,4,8,21,13,1
jynew (C#),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
MailKit (C#),157,113,424,85,149,371,547,864,448,646,397,11,8,106,82,836,14,13
radzen-blazor (C#),114,71,384,11,182,154,534,776,118,206,18,1,0,51,86,191,5,4
orleans (C#),196,214,2160,183,506,859,3294,4588,789,969,1677,126,4,323,229,1115,61,16
coravel (C#),54,19,73,1,43,24,126,195,110,53,76,6,0,8,18,147,4,1
FluentValidation (C#),29,21,90,2,57,236,142,338,416,88,159,4,0,22,10,453,1,1
ShareX (C#),238,162,1715,136,812,1684,554,2390,266,1825,492,20,1,217,199,576,23,11
FluentTerminal (C#),10,44,135,37,162,238,250,522,59,196,156,6,6,36,69,136,0,1
choco (C#),85,55,171,81,28,323,213,520,79,94,143,3,0,59,72,152,31,11
clean-code-dotnet (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OneOf (C#),528,1118,128,0,0,0,128,65,11,1733,40,1,0,0,0,34,0,0
example-voting-app (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xunit (C#),27,35,172,65,73,320,195,509,294,352,295,4,0,84,9,519,28,1
neo (C#),97,219,623,199,183,803,716,1409,794,651,326,8,4,207,120,1050,36,7
QFramework (C#),281,207,245,86,308,606,339,733,51,202,160,8,2,51,91,128,93,2
mobile (C#),64,53,1366,41,177,489,845,1348,156,1396,520,37,0,141,94,485,31,9
akka.net (C#),741,815,2294,218,375,2571,3161,5810,1497,1803,3266,143,0,787,392,2241,100,8
awesome-dotnet-core (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LenovoLegionToolkit (C#),22,4,924,20,90,181,132,386,49,964,156,0,0,26,15,126,17,1
GoogleTranslateIpCheck (C#),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IdentityServer4.Admin (C#),33,2,663,18,23,43,843,966,290,174,313,37,0,141,33,387,0,0
Kavita (C#),0,0,13,0,0,68,186,248,152,84,32,0,0,2,7,208,0,0
MudBlazor (C#),85,85,482,23,260,753,1021,1795,671,307,267,11,0,41,44,763,26,0
bflat (C#),1,4,8,1,1,5,2,2,6,11,23,0,0,1,7,4,2,2
Blog.Core (C#),16,13,333,13,20,102,417,514,51,91,137,30,1,117,40,119,14,0
SqlSugar (C#),5408,744,5151,289,1796,1074,7132,9527,792,4144,675,15,0,1020,2478,2762,39,11
LKY_OfficeTools (C#),0,0,0,0,1,1,0,0,4,2,4,0,0,2,1,6,0,0
fluentassertions (C#),92,44,818,16,129,80,452,611,1240,360,285,9,0,540,75,1263,76,1
machinelearning (C#),578,434,5319,435,465,1909,5030,6940,1649,1510,2052,50,8,965,806,2144,54,2
