,entity,minimal-entity,data-provider,commander,boundary,factory,controller,pure-controller,large-class,lazy-class,degenerate,data-class,small-class,empty,unclassified
zipkin (Java),60,0,33,106,156,4,8,19,0,4,62,10,81,68,52
android-classyshark (Java),8,0,9,13,27,2,9,4,0,4,10,4,25,51,21
Android-Bootstrap (Java),3,1,4,28,19,0,0,1,0,0,0,1,7,25,2
okhttputils (Java),15,0,1,4,20,3,1,5,0,0,6,3,14,9,4
gocd (Java),380,7,184,918,1365,66,155,274,4,43,612,99,731,765,453
AVLoadingIndicatorView (Java),0,0,0,5,4,3,3,0,0,0,0,0,28,1,2
SDE-Interview-Questions (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SpringBoot-Learning (Java),3,0,0,32,25,5,3,4,0,0,22,5,46,74,5
cim (Java),4,0,3,40,25,3,5,9,0,0,12,13,42,31,14
baritone (Java),44,1,45,46,154,7,13,21,1,1,70,25,93,103,19
mit-deep-learning-book-pdf (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
proxyee-down (Java),2,0,3,6,11,0,3,0,0,0,2,2,7,15,7
AntennaPod (Java),52,3,36,157,149,10,20,23,0,11,63,23,126,153,56
Algorithms (Java),7,0,3,32,51,0,6,27,0,1,61,2,43,131,44
realm-java (Java),11,2,1,29,45,0,1,6,0,1,12,28,33,66,10
epoxy (Java),9,1,5,46,78,2,3,9,0,16,146,3,151,53,62
mockito (Java),81,3,27,228,299,10,20,107,1,5,246,21,299,220,39
testing-samples (Java),1,1,1,22,20,0,0,0,0,1,5,2,13,7,4
jenkins (Java),184,8,68,165,539,29,47,86,0,20,333,43,435,264,107
piggymetrics (Java),8,0,3,23,33,5,3,5,0,1,12,7,29,26,5
Mapper (Java),44,1,3,35,77,3,5,38,0,3,50,27,55,137,30
transmittable-thread-local (Java),10,0,2,7,24,0,0,2,0,0,10,4,7,29,1
easyexcel (Java),20,1,5,83,119,6,12,43,0,5,124,12,111,198,25
dynamic-load-apk (Java),5,0,2,7,14,0,0,0,0,0,4,0,5,13,3
springcloud-learning (Java),21,0,5,6,18,19,12,12,0,1,56,3,64,58,3
react-native-svg (Java),4,0,2,41,38,0,3,1,0,2,5,2,28,32,3
Android_Data (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
tsunami-security-scanner (Java),17,0,5,30,75,1,1,18,0,1,62,4,70,37,8
richeditor-android (Java),0,0,0,2,2,0,0,0,0,0,1,0,2,2,0
Telegram (Java),201,16,141,1107,796,40,47,45,2,30,220,67,488,1109,416
plantuml (Java),525,15,285,231,991,105,166,320,1,35,601,93,975,688,261
fresco (Java),77,6,35,235,229,15,13,24,0,13,81,18,144,185,87
junit4 (Java),26,0,14,73,125,23,25,39,0,11,119,19,129,92,30
Paper (Java),0,0,0,2,1,1,1,1,0,0,5,0,6,28,1
skywalking (Java),214,7,95,293,517,135,115,151,0,45,363,83,666,564,127
SpringBoot-Labs (Java),0,0,0,0,0,0,0,0,0,0,4,0,2,1,0
LeetCodeAnimation (Java),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SmartTube (Java),126,9,93,428,468,26,39,70,0,22,166,30,266,336,238
AndroidPerformanceMonitor (Java),0,0,0,7,5,1,1,0,0,1,2,1,7,10,4
DependencyCheck (Java),32,0,25,100,139,4,11,46,0,15,70,14,78,77,53
mybatis-plus (Java),80,4,26,84,198,16,20,55,0,5,169,17,217,209,19
Arduino (Java),21,2,19,69,86,5,8,22,1,9,54,6,98,47,33
VirtualXposed (Java),46,1,12,92,109,6,9,18,0,6,23,7,115,273,30
jadx (Java),127,7,148,655,413,5,14,39,0,15,111,62,678,262,139
FizzBuzzEnterpriseEdition (Java),0,0,18,11,29,0,0,7,0,0,15,18,44,40,1
easypermissions (Java),0,0,1,6,3,0,2,1,0,0,5,0,4,1,8
conductor (Java),91,3,22,160,244,30,30,42,0,5,91,49,150,65,71
guice (Java),90,3,33,61,189,5,22,39,1,2,119,15,119,166,35
pkl (Java),88,0,68,57,223,6,23,35,0,2,81,30,164,170,27
COLA (Java),40,2,21,32,91,14,5,28,0,1,62,22,116,135,20
android-floating-action-button (Java),0,0,0,4,3,0,0,0,0,0,0,0,1,0,1
PhotoView (Java),2,0,0,10,9,0,0,0,0,0,1,0,9,10,1
Material-Animations (Java),0,0,1,3,6,0,1,0,0,0,1,1,3,2,3
RxJava (Java),153,5,16,589,1023,16,65,161,4,14,822,18,815,144,56
spider-flow (Java),12,0,5,11,36,4,5,4,0,1,36,13,43,31,10
spring-boot-api-project-seed (Java),1,0,2,0,2,0,0,1,0,0,2,1,2,8,0
jsoup (Java),10,0,8,6,29,0,10,26,0,0,52,2,26,24,22
testcontainers-java (Java),54,4,29,145,210,12,26,47,0,5,119,15,244,114,85
lombok (Java),70,5,127,100,259,6,17,20,0,28,219,96,207,362,64
Grasscutter (Java),65,4,127,88,189,4,10,394,0,7,453,114,641,4474,51
thingsboard (Java),529,10,153,773,1340,204,139,186,1,29,517,73,1090,1314,154
VBlog (Java),6,0,0,1,3,4,5,2,0,0,4,5,4,7,3
GmsCore (Java),67,4,160,140,221,16,30,19,0,9,98,43,282,516,83
AndroidPicker (Java),15,7,7,35,52,1,6,7,0,1,13,0,19,49,16
GSYVideoPlayer (Java),13,3,16,117,73,2,3,2,0,2,20,12,56,51,32
FlycoTabLayout (Java),1,0,1,4,4,0,0,0,0,0,0,1,3,4,5
ImmersionBar (Java),4,0,3,71,16,0,0,4,0,1,12,5,33,19,5
android-gpuimage (Java),0,0,1,54,5,0,0,0,0,0,0,0,3,38,3
processing (Java),14,1,16,107,76,3,3,2,0,5,11,12,32,47,51
config (Java),8,0,15,2,39,2,5,0,0,0,6,15,13,48,6
MaterialDesignLibrary (Java),3,1,0,21,17,0,0,0,0,0,0,0,8,3,2
antlr4 (Java),46,2,73,50,139,23,27,21,0,17,78,28,113,196,47
metersphere (Java),263,1,39,321,513,50,62,35,0,0,86,35,312,1286,173
haven (Java),3,0,0,24,19,0,1,1,0,0,2,1,4,4,3
zaproxy (Java),154,18,73,312,544,22,34,57,0,39,220,72,212,218,217
async-http-client (Java),50,2,29,64,118,9,8,18,0,1,41,15,87,82,35
rabbitmq-tutorials (Java),0,0,0,11,1,4,1,1,0,0,7,0,15,18,0
Android-Debug-Database (Java),0,0,0,4,9,2,0,1,0,0,6,0,2,18,5
EffectiveAndroidUI (Java),6,0,4,22,22,4,5,1,0,0,6,1,14,12,2
SmartRefreshLayout (Java),9,3,3,59,45,0,0,2,0,0,8,5,32,31,17
Sentinel (Java),78,1,69,117,239,38,32,122,0,6,261,33,269,319,106
smali (Java),72,2,155,63,148,26,15,25,1,14,93,88,187,233,70
newbee-mall (Java),12,0,0,0,18,2,0,5,0,0,7,21,8,28,12
karate (Java),52,9,27,88,163,6,10,66,0,6,104,20,172,75,54
interview (Java),83,0,11,40,133,10,9,106,0,2,264,9,399,31,66
android-Ultra-Pull-To-Refresh (Java),6,0,0,14,14,0,2,7,0,0,8,4,23,8,5
Android-Universal-Image-Loader (Java),12,0,4,9,27,3,4,9,0,0,10,1,28,27,9
quartz (Java),37,7,12,53,96,3,21,50,0,15,78,9,92,81,44
FileDownloader (Java),12,1,5,27,27,0,2,2,0,0,7,6,15,36,24
termux-app (Java),9,2,17,32,38,0,3,12,0,1,21,6,34,83,20
presto (Java),1019,22,1405,1127,3189,228,366,545,2,146,1624,427,2302,1519,772
wiremock (Java),99,1,81,167,264,24,35,116,0,4,238,38,289,162,77
CtCI-6th-Edition (Java),19,2,35,17,35,1,2,4,0,2,8,23,50,91,41
SpringCloud (Java),0,0,0,1,1,1,1,0,0,0,0,0,1,2,0
DataX (Java),20,1,43,31,60,1,4,7,0,3,17,21,42,123,24
kafka-ui (Java),67,0,18,66,166,12,19,22,0,1,75,16,132,94,26
flyway (Java),33,0,16,43,87,20,24,34,0,10,125,8,118,154,103
interviews (Java),16,0,1,2,37,5,4,67,0,0,123,1,102,61,29
spark (Java),12,0,8,43,48,2,4,3,0,0,24,11,43,72,15
ansj_seg (Java),10,1,6,17,38,9,11,23,0,1,30,6,53,61,18
shardingsphere-elasticjob (Java),29,0,5,139,130,10,8,45,0,0,134,11,189,149,26
Calligraphy (Java),1,0,1,4,5,1,1,0,0,0,1,0,3,7,0
redisson (Java),241,8,161,205,573,57,63,77,0,13,162,94,343,511,68
Aegis (Java),34,0,18,68,84,1,6,18,0,2,27,11,85,59,20
BookReader (Java),17,1,4,117,64,11,3,9,0,0,21,9,63,110,13
lawnchair (Java),165,10,40,371,430,23,32,17,3,16,128,18,187,182,103
JsonPath (Java),23,1,10,16,89,2,2,17,0,3,49,8,61,40,17
android-interview-questions (Java),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VirtualApp (Java),48,1,14,91,112,5,6,18,0,7,23,7,107,274,34
javacv (Java),19,1,4,20,39,0,1,3,0,0,5,1,9,34,18
aws-doc-sdk-examples (Java),66,1,5,66,172,9,14,46,0,1,59,29,106,1141,37
shenyu (Java),217,8,103,669,928,131,73,213,0,13,687,205,804,413,232
Android-ObservableScrollView (Java),6,0,0,66,31,1,5,6,0,1,30,0,39,6,12
MVPArms (Java),6,2,5,17,23,1,1,2,0,0,11,2,12,49,11
subsampling-scale-image-view (Java),3,0,3,15,15,0,0,6,0,0,6,1,16,3,1
UltimateAndroidReference (Java),0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
metrics (Java),22,1,7,102,92,1,6,20,0,1,42,9,56,39,36
android-gif-drawable (Java),1,2,4,19,10,0,1,3,0,0,4,2,13,5,4
java8-tutorial (Java),0,0,0,1,1,0,0,0,0,0,2,2,3,64,0
quickstart-android (Java),13,0,2,34,33,1,2,3,0,0,3,3,15,7,4
Mindustry (Java),66,1,33,298,322,6,14,23,0,7,56,21,288,201,96
logstash (Java),62,2,37,84,151,8,19,38,0,8,99,16,129,158,61
zheng (Java),41,0,0,15,44,6,8,4,0,0,16,12,44,182,80
AndroidAutoLayout (Java),4,0,0,4,5,2,2,18,0,0,21,3,12,7,13
MinecraftForge (Java),157,9,153,73,417,9,14,58,1,15,119,130,299,307,40
AndroidProject (Java),10,3,2,63,43,5,1,5,0,4,36,3,23,29,14
Android-Image-Cropper (Java),1,0,0,7,7,0,0,0,0,0,0,0,0,4,2
quarkus (Java),1186,42,1149,2830,5271,416,520,1147,8,112,3760,1024,6785,3036,734
rocketmq (Java),67,11,42,122,216,4,20,30,0,4,70,53,115,196,91
analysis-ik (Java),2,0,4,5,8,2,2,1,0,1,1,2,5,5,5
CalendarView (Java),7,0,1,25,25,0,5,2,0,0,7,4,7,5,33
spring-boot-admin (Java),40,1,6,91,114,15,18,24,0,0,62,3,117,65,27
