Free Function Name,Free Function Stereotype
"mockRequestOptions","literal wrapper"
"mockGlideOptions","literal wrapper"
"squareThumb","property wrapper"
"squareMiniThumb","property wrapper"
"newInstance","literal wrapper"
"newInstance","literal"
"getIntent","literal wrapper"
"getSizeKey","literal wrapper"
"getLargerSizeKeys","literal wrapper"
"getCacheableUrl","property wrapper"
"getPhotoURL","literal wrapper"
"getAlternateUrls","literal wrapper"
"getUrlForMethod","literal wrapper"
"getPhotoUrl","property wrapper"
"getSearchUrl","property wrapper"
"getRecentUrl","literal wrapper"
"get","global-command literal"
"get","literal"
"signUrl","property"
"getTrendingUrl","literal wrapper"
"get","global-command literal"
"getIntent","literal wrapper"
"getDifference","literal wrapper"
"assertThat","property wrapper"
"assertThat","literal wrapper"
"getDisplayString","property wrapper"
"waitOnLatch","wrapper"
"wait","wrapper"
"mock","wrapper"
"mockAsync","wrapper"
"openResource","property wrapper"
"resourceToBytes","literal wrapper"
"isToBytes","property wrapper"
"isToString","literal wrapper"
"assertStreamOf","literal wrapper"
"waitOn","property wrapper"
"open","property wrapper"
"deleteIfExists","wrapper"
"renameTo","wrapper"
"inputStreamToString","literal wrapper"
"closeWriter","wrapper"
"flushWriter","wrapper"
"readFully","property wrapper"
"deleteContents","wrapper"
"closeQuietly","wrapper"
"setUpClass","literal wrapper"
"readFile","literal wrapper"
"writeFile","literal wrapper"
"assertInoperable","wrapper"
"deleteDirectory","wrapper"
"assertThat","literal wrapper"
"readAsciiLine","property wrapper"
"createTestInputStream","literal wrapper"
"writeHeaderWithGceAndFrameDelay","literal wrapper"
"getColorTableLength","property"
"getImageDataSize","literal"
"writeFakeImageData","wrapper"
"writeColorTable","wrapper"
"writeImageDescriptor","wrapper"
"log2","literal wrapper"
"writeHeaderAndLsd","wrapper"
"writeGraphicsControlExtension","wrapper"
"verifyRemaining","wrapper"
"verifyShortValues","unclassified"
"assertEquals","wrapper"
